StockCode,lifetime_weeks,active_weeks,zero_weeks,mean_weekly_quantity,median_weekly_quantity,std_weekly_quantity,max_weekly_quantity,zero_rate_pct,active_rate_pct,positive_mean,positive_std,adi,cv_squared,demand_type
35598A,102,2,100,0.09803921568627451,0.0,0.8956418564809077,9.0,98.03921568627452,1.9607843137254832,5.0,5.656854249492381,51.0,1.28,lumpy
79157B,91,2,89,0.04395604395604396,0.0,0.33038993501241704,3.0,97.8021978021978,2.197802197802204,2.0,1.4142135623730951,45.5,0.5000000000000001,lumpy
85115B,71,2,69,0.08450704225352113,0.0,0.4998993862551441,3.0,97.1830985915493,2.816901408450704,3.0,0.0,35.5,0.0,intermittent
44242A,68,2,66,0.20588235294117646,0.0,1.4717115990331493,12.0,97.05882352941177,2.941176470588232,7.0,7.0710678118654755,34.0,1.0204081632653064,lumpy
35598C,102,3,99,0.029411764705882353,0.0,0.16979208910778987,1.0,97.05882352941177,2.941176470588232,1.0,0.0,34.0,0.0,intermittent
84206B,65,2,63,0.13846153846153847,0.0,0.7881331398652426,5.0,96.92307692307692,3.07692307692308,4.5,0.7071067811865476,32.5,0.024691358024691364,intermittent
85179a,58,2,56,0.034482758620689655,0.0,0.1840592240099194,1.0,96.55172413793103,3.448275862068968,1.0,0.0,29.0,0.0,intermittent
84206C,80,3,77,0.1125,0.0,0.6559127373266521,5.0,96.25,3.75,3.0,2.0,26.666666666666668,0.4444444444444444,intermittent
84201C,53,2,51,0.18867924528301888,0.0,0.9619012378054866,5.0,96.22641509433963,3.773584905660371,5.0,0.0,26.5,0.0,intermittent
79151B,53,2,51,0.20754716981132076,0.0,1.3778256360327832,10.0,96.22641509433963,3.773584905660371,5.5,6.363961030678928,26.5,1.3388429752066118,lumpy
S,79,3,76,0.0379746835443038,0.0,0.192356371638255,1.0,96.20253164556962,3.7974683544303787,1.0,0.0,26.333333333333332,0.0,intermittent
90182B,103,4,99,0.04854368932038835,0.0,0.25738659321465757,2.0,96.11650485436893,3.8834951456310733,1.25,0.5,25.75,0.16000000000000003,intermittent
47016,100,4,96,0.31,0.0,2.435822719992636,24.0,96.0,4.0,7.75,10.90489186863706,25.0,1.9798820672910167,lumpy
47567b,48,2,46,0.0625,0.0,0.31999002644031976,2.0,95.83333333333333,4.166666666666671,1.5,0.7071067811865476,24.0,0.22222222222222227,intermittent
82613a,71,3,68,0.04225352112676056,0.0,0.20259880963617724,1.0,95.77464788732394,4.225352112676063,1.0,0.0,23.666666666666668,0.0,intermittent
90141E,92,4,88,0.08695652173913043,0.0,0.4360707149288267,3.0,95.65217391304348,4.347826086956516,2.0,0.816496580927726,23.0,0.16666666666666666,intermittent
84679,69,3,66,0.14492753623188406,0.0,0.7128105580942283,4.0,95.65217391304348,4.347826086956516,3.3333333333333335,1.1547005383792517,23.0,0.12000000000000004,intermittent
90020,90,4,86,0.06666666666666667,0.0,0.36102226891382394,3.0,95.55555555555556,4.444444444444443,1.5,1.0,22.5,0.4444444444444444,intermittent
90011D,90,4,86,0.044444444444444446,0.0,0.2072349321509781,1.0,95.55555555555556,4.444444444444443,1.0,0.0,22.5,0.0,intermittent
85049b,66,3,63,0.06060606060606061,0.0,0.29762071261605527,2.0,95.45454545454545,4.545454545454547,1.3333333333333333,0.5773502691896257,22.0,0.18749999999999997,intermittent
84731,66,3,63,0.045454545454545456,0.0,0.20989507868443236,1.0,95.45454545454545,4.545454545454547,1.0,0.0,22.0,0.0,intermittent
35650,62,3,59,0.04838709677419355,0.0,0.2163345432076804,1.0,95.16129032258064,4.838709677419359,1.0,0.0,20.666666666666668,0.0,intermittent
84550,103,5,98,0.14563106796116504,0.0,0.7971489268476365,7.0,95.14563106796116,4.854368932038838,3.0,2.345207879911715,20.6,0.6111111111111112,lumpy
90025B,60,3,57,0.05,0.0,0.21978417765108277,1.0,95.0,5.0,1.0,0.0,20.0,0.0,intermittent
90069,100,5,95,0.11,0.0,0.649708559371979,6.0,95.0,5.0,2.2,2.16794833886788,20.0,0.9710743801652891,lumpy
